district,year,office,candidate,party,writein,candidatevotes,totalvotes,
illinois11,2016,US House,Tonia Khouri,republican,FALSE,108995,275573,
illinois11,2016,US House,Bill Foster,democrat,FALSE,166578,275573,
illinois12,2016,US House,"Charles """"C. J."""" Baricevic",democrat,FALSE,124246,313002,
illinois12,2016,US House,Mike Bost,republican,FALSE,169976,313002,
illinois12,2016,US House,Paula Bradshaw,green,FALSE,18780,313002,
illinois13,2016,US House,Mark D. Wicklund,democrat,FALSE,126811,314394,
illinois13,2016,US House,Rodney Davis,republican,FALSE,187583,314394,
illinois14,2016,US House,Jim Walz,democrat,FALSE,137589,338097,
illinois14,2016,US House,Randy Hultgren,republican,FALSE,200508,338097,
illinois15,2016,US House,John Shimkus,republican,FALSE,274554,274554,
illinois16,2016,US House,NA,NA,TRUE,131,259853,
illinois16,2016,US House,Adam Kinzinger,republican,FALSE,259722,259853,
illinois17,2016,US House,Patrick Harlan,republican,FALSE,113943,287068,
illinois17,2016,US House,Cheri Bustos,democrat,FALSE,173125,287068,
illinois18,2016,US House,Darin LaHood,republican,FALSE,250506,347283,
illinois18,2016,US House,NA,NA,TRUE,7,347283,
illinois18,2016,US House,Junius Rodriguez,democrat,FALSE,96770,347283,
indiana1,2016,US House,Donna Dunn,libertarian,FALSE,47051,254583,
indiana1,2016,US House,NA,NA,TRUE,17,254583,
indiana1,2016,US House,Peter J. Visclosky,democrat,FALSE,207515,254583,
indiana2,2016,US House,Lynn C. Coleman,democrat,FALSE,102401,277357,
indiana2,2016,US House,Ron Cenkush,libertarian,FALSE,10601,277357,
indiana2,2016,US House,Jackie Walorski,republican,FALSE,164355,277357,
indiana3,2016,US House,Pepper Snyder,libertarian,FALSE,19828,287247,
indiana3,2016,US House,Tommy A. Schrader,democrat,FALSE,66023,287247,
indiana3,2016,US House,Jim Banks,republican,FALSE,201396,287247,
indiana4,2016,US House,Steven M. Mayoras,libertarian,FALSE,14766,299434,
indiana4,2016,US House,John Dale,democrat,FALSE,91256,299434,
indiana4,2016,US House,Todd Rokita,republican,FALSE,193412,299434,
indiana5,2016,US House,Matthew Wittlief,libertarian,FALSE,15329,361135,
indiana5,2016,US House,Angela Demaree,democrat,FALSE,123849,361135,
indiana5,2016,US House,Susan W. Brooks,republican,FALSE,221957,361135,
indiana6,2016,US House,Barry Welsh,democrat,FALSE,79135,296385,
indiana6,2016,US House,Luke Messer,republican,FALSE,204920,296385,
indiana6,2016,US House,Rich Turvey,libertarian,FALSE,12330,296385,
indiana7,2016,US House,"Catherine """"CAT"""" Ping",republican,FALSE,94456,264670,
indiana7,2016,US House,Andr_ Carson,democrat,FALSE,158739,264670,
indiana7,2016,US House,Drew Thompson,libertarian,FALSE,11475,264670,
indiana8,2016,US House,Larry Bucshon,republican,FALSE,187702,294713,
indiana8,2016,US House,Andrew Horning,libertarian,FALSE,13655,294713,
indiana8,2016,US House,Ron Drake,democrat,FALSE,93356,294713,
indiana9,2016,US House,Shelli Yoder,democrat,FALSE,130627,322843,
indiana9,2016,US House,Trey Hollingsworth,republican,FALSE,174791,322843,
indiana9,2016,US House,Russell Brooksbank,libertarian,FALSE,17425,322843,
iowa1,2016,US House,Monica Vernon,democrat,FALSE,177403,384977,
iowa1,2016,US House,NA,NA,TRUE,671,384977,
iowa1,2016,US House,Rod Blum,republican,FALSE,206903,384977,
iowa2,2016,US House,Christopher Peters,republican,FALSE,170933,370032,
